Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date,,,,,,,,
1,Bad Boys: Ride Or Die,USA," £3,873,533 ",Sony Pictures,-,1,644," £6,015 "," £3,873,533 ",,,,,,,,
2,IF,USA," £866,474 ",Paramount,-45%,4,676," £1,282 "," £10,859,242 ",,,,,,,,
3,The Garfield Movie,USA/UK/HKg," £729,503 ",Sony Pictures,-46%,3,661," £1,104 "," £7,375,071 ",,,,,,,,Hello to Jason Isaacs
4,Kingdom Of The Planet Of The Apes,USA/Aus," £620,911 ",Disney,-41%,5,613," £1,013 "," £14,340,042 ",,,,,,,,
5,Furiosa: A Mad Max Saga,USA/Aus," £436,983 ",Warner Bros,-55%,3,651, £671 ," £5,558,549 ",,,,,,,,
6,The Watched,USA," £387,339 ",Warner Bros,-,1,534, £725 ," £387,339 ",,,,,,,,
7,The Fall Guy,USA," £313,814 ",Universal,-40%,6,522, £601 ," £11,645,159 ",,,,,,,,
8,The Dead Don't Hurt,Mex/UK/USA/Jpn," £95,827 ",Signature Entertainment,-,1,239, £401 ," £111,827 ",,,,,,,,
9,Challengers,USA," £72,128 ",Warner Bros,-40%,7,192, £376 ," £6,357,927 ",,,,,,,,
10,The Strangers: Chapter 1,USA/Swi," £69,584 ",Lionsgate,-57%,4,216, £322 ," £1,772,602 ",,,,,,,,
11,Haikyu!!: The Dumpster Battle,Jpn," £46,435 ",Sony Pictures,-83%,2,173, £268 ," £393,929 ",,,,,,,,
12,La Chimera,Ita/Fra/Swi/Tur," £46,093 ",Curzon,-27%,5,93, £496 ," £691,674 ",,,,,,,,
13,The Matrix (25th Anniversary),USA," £45,538 ",Park Circus,-,1,211, £216 ," £45,538 ",,,,,,,,
14,Lord Of The Rings: The Fellowship Of The Ring (Extended Version) (Re: 2024),USA/NZl," £41,453 ",Park Circus,-,1,93, £446 ," £41,453 ",,,,,,,,
15,Kung Fu Panda 4,USA," £38,518 ",Universal,-53%,11,287, £134 ," £21,805,140 ",,,,,,,,
