id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650
6414100192,20141209T000000,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690,7639
5631500400,20150225T000000,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8062
2487200875,20141209T000000,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360,5000
1954400510,20150218T000000,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
7237550310,20140512T000000,1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
1321400060,20140627T000000,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,6819
2008000270,20150115T000000,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
2414600126,20150415T000000,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
3793500160,20150312T000000,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
1736800520,20150403T000000,662500.0,3.0,2.5,,9796.0,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
9212900260,20140527T000000,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000
114101516,20140528T000000,310000.0,3.0,1.0,,19901.0,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
6054650070,20141007T000000,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
1175000570,20150312T000000,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.39399999999999,1360,4850
9297300055,20150124T000000,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
1875500060,20140731T000000,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018
6865200140,20140529T000000,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.34299999999999,1610,4300
16000397,20141205T000000,189000.0,,1.0,1200.0,9850.0,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
7983200060,20150424T000000,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
6300500875,20140514T000000,385000.0,4.0,1.75,1620.0,4980.0,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.34100000000001,1400,4980
2524049179,20140826T000000,2000000.0,3.0,2.75,3050.0,44867.0,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.23299999999999,4110,20336
7137970340,20140703T000000,285000.0,5.0,2.5,2270.0,6300.0,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005
8091400200,20140516T000000,252700.0,,1.5,,,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
3814700200,20141120T000000,329000.0,3.0,,2450.0,6500.0,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.17200000000001,2200,6865
1202000200,20141103T000000,233000.0,3.0,2.0,1710.0,4697.0,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.21799999999999,1030,4705
1794500383,20140626T000000,937000.0,3.0,,2450.0,2691.0,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573
3303700376,20141201T000000,667000.0,3.0,1.0,1400.0,1581.0,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861
5101402488,20140624T000000,438000.0,3.0,1.75,1520.0,6380.0,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235
1873100390,20150302T000000,719000.0,4.0,2.5,2570.0,7173.0,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026
8562750320,20141110T000000,580500.0,3.0,2.5,2320.0,3980.0,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
2426039314,20141201T000000,280000.0,,1.5,1190.0,1265.0,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.35700000000001,1390,1756
461000390,20140624T000000,687500.0,,1.75,,5000.0,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000
7589200193,20141110T000000,535000.0,3.0,1.0,1090.0,3000.0,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
7955080270,20141203T000000,322500.0,4.0,2.75,2060.0,6659.0,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.15700000000001,2020,8720
9547205180,20140613T000000,696000.0,3.0,2.5,2300.0,3060.0,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264
9435300030,20140528T000000,550000.0,4.0,1.0,1660.0,34848.0,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467
2768000400,20141230T000000,640000.0,4.0,2.0,,6000.0,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.36200000000001,1730,4700
7895500070,20150213T000000,240000.0,4.0,1.0,,8075.0,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.28200000000001,1290,7800
2078500320,20140620T000000,605000.0,4.0,2.5,2620.0,7553.0,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
5547700270,20140715T000000,625000.0,4.0,2.5,2570.0,5520.0,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669
7766200013,20140811T000000,775000.0,4.0,2.25,4220.0,24186.0,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.34700000000001,2410,30617
7203220400,20140707T000000,861990.0,5.0,2.75,3595.0,5639.0,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639
9270200160,20141028T000000,685000.0,3.0,1.0,1570.0,2280.0,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.36399999999999,1580,2640
1432701230,20140729T000000,309000.0,3.0,1.0,1280.0,9656.0,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808
8035350320,20140718T000000,488000.0,3.0,2.5,3160.0,13603.0,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232
8945200830,20150325T000000,210490.0,,1.0,990.0,8528.0,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.37100000000001,1228,8840
4178300310,20140716T000000,785000.0,4.0,2.5,2290.0,13416.0,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.15100000000001,2680,13685
9215400105,20150428T000000,450000.0,3.0,1.75,1250.0,5963.0,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100
822039084,20150311T000000,1350000.0,3.0,2.5,2753.0,65005.0,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.45100000000001,2680,72513
5245600105,20140916T000000,228000.0,3.0,1.0,1190.0,9199.0,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364
7231300125,20150217T000000,345000.0,5.0,2.5,3150.0,9134.0,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133
7518505990,20141231T000000,600000.0,3.0,1.75,1410.0,4080.0,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080
3626039271,20150205T000000,585000.0,2.0,1.75,1980.0,8550.0,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738
4217401195,20150303T000000,920000.0,,2.25,2730.0,6000.0,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000
9822700295,20140512T000000,885000.0,4.0,2.5,2830.0,5000.0,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000
9478500640,20140819T000000,292500.0,4.0,2.5,2250.0,4495.0,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.11399999999999,2250,4500
2799800710,20150407T000000,301000.0,3.0,2.5,2420.0,4750.0,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.12200000000001,2690,4750
7922800400,20140827T000000,951000.0,5.0,3.25,3250.0,14342.0,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044
8079040320,20150223T000000,430000.0,4.0,3.0,,9976.0,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542
1516000055,20141210T000000,650000.0,3.0,2.25,2150.0,21235.0,1.0,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900
9558200045,20140828T000000,289000.0,,1.75,1260.0,8400.0,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750
5072410070,20141021T000000,505000.0,3.0,1.75,2519.0,8690.0,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500
9528102996,20141207T000000,549000.0,3.0,1.75,1540.0,1044.0,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090
1189001180,20140603T000000,425000.0,3.0,2.25,1660.0,6000.0,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.29700000000001,1440,4080
3253500160,20141120T000000,317625.0,3.0,2.75,2770.0,3809.0,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000
3394100030,20140909T000000,975000.0,4.0,2.5,2720.0,11049.0,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.19200000000001,2750,11049
3717000160,20141009T000000,287000.0,4.0,2.5,2240.0,4648.0,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557
1274500060,20140825T000000,204000.0,3.0,1.0,1000.0,12070.0,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635
1802000060,20140612T000000,1325000.0,5.0,2.25,3200.0,,1.0,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158
1525059190,20140912T000000,1040000.0,5.0,3.25,4770.0,50094.0,1.0,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917
1049000060,20150105T000000,325000.0,3.0,2.0,1260.0,5612.0,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745
8820901275,20140610T000000,571000.0,4.0,2.0,2750.0,7807.0,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807
5416510140,20140710T000000,360000.0,4.0,2.5,2380.0,5000.0,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000
3444100400,20150316T000000,349000.0,3.0,1.75,1790.0,50529.0,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
3276920270,20141105T000000,832500.0,4.0,4.0,3430.0,35102.0,2.0,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.98700000000001,3240,35020
4036801170,20141013T000000,380000.0,4.0,1.75,1760.0,7300.0,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500
2391600320,20150420T000000,480000.0,3.0,1.0,1040.0,5060.0,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.39399999999999,890,5060
6300000287,20140609T000000,410000.0,3.0,1.0,1410.0,5060.0,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693
1531000030,20150323T000000,720000.0,4.0,2.5,3450.0,39683.0,2.0,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750
5104520400,20141202T000000,390000.0,3.0,2.5,2350.0,5100.0,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363
